Building zlib and libiconv...,50.7
Building audio codecs (LAME, Opus, Vorbis, FLAC)...,211.2
Building video codecs (x264, x265, libvpx, AOM)...,6.5
Building image processing (WebP, OpenJPEG)...,10.1
Building text rendering (FreeType, FontConfig, libass)...,7.8
Building video filters (vid.stab, zimg)...,1.8
Building container formats (libbluray)...,1.0
Building SDL2...,1.3
Extracting archives...,2.7
Building all dependencies...,1847.5
Configuring FFmpeg...,45.2
Compiling FFmpeg...,892.1
